
499474497536 bytes (499 GB, 465 GiB) copied, 114 s, 4.4 GB/s
503853350912 bytes (504 GB, 469 GiB) copied, 115 s, 4.4 GB/s
508248981504 bytes (508 GB, 473 GiB) copied, 116 s, 4.4 GB/s
512644612096 bytes (513 GB, 477 GiB) copied, 117 s, 4.4 GB/s
517023465472 bytes (517 GB, 482 GiB) copied, 118 s, 4.4 GB/s
521402318848 bytes (521 GB, 486 GiB) copied, 119 s, 4.4 GB/s
525797949440 bytes (526 GB, 490 GiB) copied, 120 s, 4.4 GB/s
530176802816 bytes (530 GB, 494 GiB) copied, 121 s, 4.4 GB/s
534555656192 bytes (535 GB, 498 GiB) copied, 122 s, 4.4 GB/s
538951286784 bytes (539 GB, 502 GiB) copied, 123 s, 4.4 GB/s
543330140160 bytes (543 GB, 506 GiB) copied, 124 s, 4.4 GB/s
547708993536 bytes (548 GB, 510 GiB) copied, 125 s, 4.4 GB/s
552104624128 bytes (552 GB, 514 GiB) copied, 126 s, 4.4 GB/s
556500254720 bytes (557 GB, 518 GiB) copied, 127 s, 4.4 GB/s
560862330880 bytes (561 GB, 522 GiB) copied, 128 s, 4.4 GB/s
565257961472 bytes (565 GB, 526 GiB) copied, 129 s, 4.4 GB/s
569653592064 bytes (570 GB, 531 GiB) copied, 130 s, 4.4 GB/s
574015668224 bytes (574 GB, 535 GiB) copied, 131 s, 4.4 GB/s
578411298816 bytes (578 GB, 539 GiB) copied, 132 s, 4.4 GB/s
582806929408 bytes (583 GB, 543 GiB) copied, 133 s, 4.4 GB/s
587185782784 bytes (587 GB, 547 GiB) copied, 134 s, 4.4 GB/s
591564636160 bytes (592 GB, 551 GiB) copied, 135 s, 4.4 GB/s
595960266752 bytes (596 GB, 555 GiB) copied, 136 s, 4.4 GB/s
600339120128 bytes (600 GB, 559 GiB) copied, 137 s, 4.4 GB/s
604717973504 bytes (605 GB, 563 GiB) copied, 138 s, 4.4 GB/s
609113604096 bytes (609 GB, 567 GiB) copied, 139 s, 4.4 GB/s
613509234688 bytes (614 GB, 571 GiB) copied, 140 s, 4.4 GB/s
617871310848 bytes (618 GB, 575 GiB) copied, 141 s, 4.4 GB/s
622266941440 bytes (622 GB, 580 GiB) copied, 142 s, 4.4 GB/s
626679349248 bytes (627 GB, 584 GiB) copied, 143 s, 4.4 GB/s
631024648192 bytes (631 GB, 588 GiB) copied, 144 s, 4.4 GB/s
635420278784 bytes (635 GB, 592 GiB) copied, 145 s, 4.4 GB/s
639832686592 bytes (640 GB, 596 GiB) copied, 146 s, 4.4 GB/s
