# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 56K of event 'cpu-clock:u'
# Event count (approx.): 284105492125
#
# Overhead|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 0.92%  |[.] keylane::ExecuteCommandBody(keylane::ExecuteCommandBody(keylane::CommandRequest const&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*, keylane::(anonymous namespace)::ReplicationTransactionOrderGuard*, std::optional<bool>)::_ZN7keylane18ExecuteCommandBodyERKNS_14CommandRequestERNS_12ReplyBuilderEmPNS_17ConnectionContextEPNS_12_GLOBAL__N_132ReplicationTransactionOrderGuardESt8optionalIbE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 0.89%  |[.] keylane::(anonymous namespace)::BuildParsedCommandRequest(keylane::RespCommand, unsigned char) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 0.86%  |[.] keylane::storage::StorageEngine::Impl::ValidateCompactWriteSnapshot(keylane::storage::StorageEngine::Impl::WorkerStore const&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore const&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::RecordLocation const&, keylane::storage::CompactWriteSnapshot const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 0.79%  |[.] keylane::(anonymous namespace)::ReadCommandBatch(keylane::(anonymous namespace)::ReadCommandBatch(celer::TcpStream&, keylane::(anonymous namespace)::RequestInputBuffer*, keylane::RespCommandParser*, keylane::(anonymous namespace)::CommandBatch*, keylane::ClientBufferReservation*, std::atomic<unsigned long> const*, unsigned long*, std::optional<absl::lts_20250512::Status>*)::_ZN7keylane12_GLOBAL__N_116ReadCommandBatchERN5celer9TcpStreamEPNS0_18RequestInputBufferEPNS_17RespCommandParserEPNS0_12CommandBatchEPNS_23ClientBufferReservationEPKSt6atomicImEPmPSt8optionalIN4absl12lts_202505126StatusEE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 0.77%  |[.] keylane::storage::HashValueReader::Next()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |-      -            
 0.77%  |[.] keylane::DispatchCommandImpl(keylane::DispatchCommandImpl(keylane::ConnectionContext&, keylane::CommandRequest&, keylane::ReplyBuilder&)::_ZN7keylane19DispatchCommandImplERNS_17ConnectionContextERNS_14CommandRequestERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 0.75%  |[.] keylane::storage::(anonymous namespace)::AppendU32(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned int) [clone .lto_priv.0] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |-      -            
 0.74%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 0.73%  |[.] keylane::storage::StorageEngine::Impl::AppendLocked(keylane::storage::StorageEngine::Impl::AppendLocked(keylane::storage::StorageEngine::Impl::WorkerStore&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::RecordKind, keylane::storage::ValueType, unsigned long, keylane::storage::TxShardWrites*, unsigned long, std::unique_ptr<std::vector<keylane::storage::RetiredRecord, std::allocator<keylane::storage::RetiredRecord> >, std::default_delete<std::vector<keylane::storage::RetiredRecord, std::allocator<keylane::storage::RetiredRecord> > > >, unsigned long*, keylane::storage::ReplicationCommandAppend*, keylane::SetLatencyTrace*, bool, keylane::storage::TxUndoLog*, keylane::storage::MutationPrecondition const*, keylane::storage::StorageEngine::Impl::GroupMutationWrite*)::_ZN7keylane7storage13StorageEngine4Impl12AppendLockedERNS2_11WorkerStoreERNS3_14PartitionStoreEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_6DigestESA_NS0_10RecordKindENS0_9ValueTypeEmPNS0_13TxShardWritesEmSt10unique_ptrISt6vectorINS0_13RetiredRecordESaISK_EESt14default_deleteISM_EEPmPNS0_24ReplicationCommandAppendEPNS_15SetLatencyTraceEbPNS0_9TxUndoLogEPKNS0_20MutationPreconditionEPNS2_18GroupMutationWriteE.Frame*) [clone .actor] [clone .lto_priv.0]  |-      -            
 0.71%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::emplace_back<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 0.68%  |[.] celer::Worker::Flush()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 0.66%  |[.] keylane::ReplyBuilder::AppendBulkString(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 0.64%  |[.] keylane::storage::StorageEngine::Impl::MaterializeIndexLocation(keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::Entry const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 0.64%  |[.] celer::IoUringBackend::ReapCompletions()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 0.59%  |[.] io_uring_submit_and_get_events                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 0.58%  |[.] celer::Worker::DrainReadyUntil(long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 0.58%  |[.] std::basic_string_view<char, std::char_traits<char> >& std::vector<std::basic_string_view<char, std::char_traits<char> >, std::allocator<std::basic_string_view<char, std::char_traits<char> > > >::emplace_back<std::basic_string_view<char, std::char_traits<char> > >(std::basic_string_view<char, std::char_traits<char> >&&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 0.56%  |[.] keylane::storage::StorageEngine::Impl::ExecuteHash(keylane::storage::StorageEngine::Impl::ExecuteHash(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperation const&, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::_ZN7keylane7storage13StorageEngine4Impl11ExecuteHashEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_13HashOperationEPNS0_24ReplicationCommandAppendEPKNS0_20MutationPreconditionE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 0.54%  |[.] std::enable_if<std::__or_<std::__or_<std::is_same<std::remove_cv<long>::type, signed char>, std::is_same<std::remove_cv<long>::type, short>, std::is_same<std::remove_cv<long>::type, int>, std::is_same<std::remove_cv<long>::type, long>, std::is_same<std::remove_cv<long>::type, long long> >, std::__or_<std::is_same<std::remove_cv<long>::type, unsigned char>, std::is_same<std::remove_cv<long>::type, unsigned short>, std::is_same<std::remove_cv<long>::type, unsigned int>, std::is_same<std::remove_cv<long>::type, unsigned long>, std::is_same<std::remove_cv<long>::type, unsigned long long> >, std::is_same<char, std::remove_cv<long>::type> >::value, std::from_chars_result>::type std::from_chars<long>(char const*, char const*, long&, int) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |-      -            
 0.53%  |[.] celer::Worker::Enqueue(std::__n4861::coroutine_handle<void>, bool) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |-      -            
 0.52%  |[.] keylane::storage::StorageEngine::Impl::ExecuteHashLikeLocked(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::HashOperation const&, keylane::storage::ValueType, keylane::storage::TxShardWrites*, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::{lambda(std::basic_string_view<char, std::char_traits<char> >)#2}::operator()(std::basic_string_view<char, std::char_traits<char> >) const [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 0.52%  |[.] celer::TcpStream::WriteSome(celer::TcpStream::WriteSome(std::span<std::byte const, 18446744073709551615ul>)::_ZN5celer9TcpStream9WriteSomeESt4spanIKSt4byteLm18446744073709551615EE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |-      -            
 0.50%  |[.] celer::PostReply(celer::CrossCore*, unsigned short, celer::RemoteWork*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |-      -            
 0.49%  |[.] celer::PostRequest(celer::CrossCore*, unsigned int, celer::RemoteWork*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |-      -            
 0.49%  |[.] keylane::storage::DecodeHashValue(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 0.48%  |[.] keylane::(anonymous namespace)::PushArgument(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 0.47%  |[.] celer::Worker::ResumeReady(celer::Worker::ReadyTask, celer::TaskClass) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 0.45%  |[.] keylane::(anonymous namespace)::WriteOrBatchReply(keylane::(anonymous namespace)::WriteOrBatchReply(celer::TcpStream&, std::basic_string_view<char, std::char_traits<char> >, bool, keylane::(anonymous namespace)::PendingReplyBatch*, keylane::ReadLatencyTrace, keylane::SetLatencyTrace)::_ZN7keylane12_GLOBAL__N_117WriteOrBatchReplyERN5celer9TcpStreamESt17basic_string_viewIcSt11char_traitsIcEEbPNS0_17PendingReplyBatchENS_16ReadLatencyTraceENS_15SetLatencyTraceE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 0.44%  |[.] keylane::storage::(anonymous namespace)::ReadCompactHashResult(std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperationKind, unsigned long) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 0.42%  |[.] keylane::storage::HashEntry& std::vector<keylane::storage::HashEntry, std::allocator<keylane::storage::HashEntry> >::emplace_back<keylane::storage::HashEntry>(keylane::storage::HashEntry&&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 0.41%  |[.] celer::TcpStream::ReadSome(celer::TcpStream::ReadSome(std::span<std::byte, 18446744073709551615ul>)::_ZN5celer9TcpStream8ReadSomeESt4spanISt4byteLm18446744073709551615EE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
 0.40%  |[.] keylane::storage::ComputeDigest(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 0.39%  |[.] keylane::storage::EncodeHashValue[abi:cxx11](keylane::storage::HashValue const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
 0.37%  |[.] celer::IoUringBackend::DispatchCqe(io_uring_cqe*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 0.36%  |[.] absl::lts_20250512::crc_internal::ExtendCrc32cInternal(absl::lts_20250512::crc32c_t, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 0.36%  |[.] _mi_malloc_generic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 0.36%  |[.] __tls_init.lto_priv.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 0.35%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
