round,variant,workload,target,histogram,total_qps,op_qps,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,count,failed,log_sha256,binary_sha256
2,baseline,A,100000,Intended-READ,99850.22466300549,49925.13230154768,427.95947961620817,353,442,988,22511,67839,116479,2500001,0,32b5dd5c198c6a37225b939823437c35e86a311378535ffae09cfbe8e2cf334f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,UPDATE,99850.22466300549,49925.09236145781,321.6623106649243,301,390,558,3431,6503,33471,2499999,0,32b5dd5c198c6a37225b939823437c35e86a311378535ffae09cfbe8e2cf334f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,Intended-UPDATE,99850.22466300549,49925.09236145781,437.5699482279793,360,452,1010,23439,68223,114175,2499999,0,32b5dd5c198c6a37225b939823437c35e86a311378535ffae09cfbe8e2cf334f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,READ,397203.68605020654,198539.95869081665,584.1495497997176,506,832,3303,6279,14375,33151,2499221,0,fb7c57e0ff5829189323b42f05c318243fa22570e1cb4fb7dfa5c21ec9f6123b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,Intended-READ,397203.68605020654,198539.95869081665,584.1839093061398,506,832,3303,6279,14375,33151,2499221,0,fb7c57e0ff5829189323b42f05c318243fa22570e1cb4fb7dfa5c21ec9f6123b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,UPDATE,397203.68605020654,198663.7273593899,602.4948242127753,518,889,3367,6291,13111,33023,2500779,0,fb7c57e0ff5829189323b42f05c318243fa22570e1cb4fb7dfa5c21ec9f6123b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,Intended-UPDATE,397203.68605020654,198663.7273593899,602.5294786144638,518,889,3367,6291,13111,33023,2500779,0,fb7c57e0ff5829189323b42f05c318243fa22570e1cb4fb7dfa5c21ec9f6123b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,candidate,C,100000,READ,99794.42348761551,99794.42348761551,315.196074,300,411,472,722,1607,37695,5000000,0,42d1c9e6dfdea4724738a2064976566f8054dfebab4339ea189c7ada43eeb73b,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,C,100000,Intended-READ,99794.42348761551,99794.42348761551,404.3118872,359,472,542,7979,54911,78655,5000000,0,42d1c9e6dfdea4724738a2064976566f8054dfebab4339ea189c7ada43eeb73b,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,C,0,READ,467770.60529516323,467770.60529516323,490.5553348,448,690,1345,4073,20815,98047,5000000,0,d858ec3e6dd9519f75311f5b84e3fa251f0fe708331cec9dd88e500e4f0b47dc,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,C,0,Intended-READ,467770.60529516323,467770.60529516323,490.5909786,448,691,1345,4073,20815,98047,5000000,0,d858ec3e6dd9519f75311f5b84e3fa251f0fe708331cec9dd88e500e4f0b47dc,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,A,100000,READ,99744.65368656241,49884.256303862116,314.4546916377602,297,374,488,3241,6211,13287,2500598,0,a34fe0480934d9e805c248f637ba472657b64131b07af0f3892b48484556ba24,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,A,100000,Intended-READ,99744.65368656241,49884.256303862116,403.41134320670494,356,437,977,6647,62847,95359,2500598,0,a34fe0480934d9e805c248f637ba472657b64131b07af0f3892b48484556ba24,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,A,100000,UPDATE,99744.65368656241,49860.397382700285,323.63185794041937,303,385,559,3483,6359,15383,2499402,0,a34fe0480934d9e805c248f637ba472657b64131b07af0f3892b48484556ba24,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,A,100000,Intended-UPDATE,99744.65368656241,49860.397382700285,413.1283238950757,363,447,1015,7015,64223,94911,2499402,0,a34fe0480934d9e805c248f637ba472657b64131b07af0f3892b48484556ba24,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,A,0,READ,406371.911573472,203099.15474642394,572.9028565002969,503,800,2939,6183,11487,45343,2498932,0,c6343680471610c454a498645620eb5f5b8414ae067caa9e1dbaf937828d0f79,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,A,0,Intended-READ,406371.911573472,203099.15474642394,572.9376117477386,503,800,2939,6183,11487,45343,2498932,0,c6343680471610c454a498645620eb5f5b8414ae067caa9e1dbaf937828d0f79,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,A,0,UPDATE,406371.911573472,203272.7568270481,588.9528857272173,514,838,2993,6199,11671,47743,2501068,0,c6343680471610c454a498645620eb5f5b8414ae067caa9e1dbaf937828d0f79,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,candidate,A,0,Intended-UPDATE,406371.911573472,203272.7568270481,588.9879051669127,514,838,2993,6199,11671,47743,2501068,0,c6343680471610c454a498645620eb5f5b8414ae067caa9e1dbaf937828d0f79,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,baseline,C,100000,READ,99838.26201553483,99838.26201553483,311.803481,299,406,472,627,1406,14367,5000000,0,b21a30596fcb7bfb68daa36a0d00ee7331b4f7032237161da897b1cb6d70c0f8,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,C,100000,Intended-READ,99838.26201553483,99838.26201553483,385.3873884,358,466,543,1432,35135,63487,5000000,0,b21a30596fcb7bfb68daa36a0d00ee7331b4f7032237161da897b1cb6d70c0f8,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,C,0,READ,498554.1928407618,498554.1928407618,464.420173,445,622,781,3085,6167,35615,5000000,0,30837d191a0f23fc2ea1a06187449e3bdf4c397cd592da2cb436e582ae62532e,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,C,0,Intended-READ,498554.1928407618,498554.1928407618,464.4574876,445,622,781,3085,6167,35615,5000000,0,30837d191a0f23fc2ea1a06187449e3bdf4c397cd592da2cb436e582ae62532e,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,100000,READ,99798.40721742081,49873.15622442666,315.1559802216757,297,383,516,3279,6135,22207,2498695,0,61f4a3294ca985af948091cdda65bec0f8e4d53cbeeeafba6d8a6baa15af0c6b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,100000,Intended-READ,99798.40721742081,49873.15622442666,406.9382733787037,356,447,911,6579,55775,88255,2498695,0,61f4a3294ca985af948091cdda65bec0f8e4d53cbeeeafba6d8a6baa15af0c6b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,100000,UPDATE,99798.40721742081,49925.25099299415,323.2445375513982,304,395,542,3301,6155,14535,2501305,0,61f4a3294ca985af948091cdda65bec0f8e4d53cbeeeafba6d8a6baa15af0c6b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,100000,Intended-UPDATE,99798.40721742081,49925.25099299415,417.5179536282061,363,458,951,7299,56991,87487,2501305,0,61f4a3294ca985af948091cdda65bec0f8e4d53cbeeeafba6d8a6baa15af0c6b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,0,READ,395914.16580885265,198069.28497901655,582.9379467717698,504,820,3273,6087,10311,95871,2501417,0,89456c4eecc42f10a56c880fa699a4dfa5587c7f3f6e13c30a839f7f4fdb7c58,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,0,Intended-READ,395914.16580885265,198069.28497901655,582.9731756040676,504,820,3273,6087,10311,95871,2501417,0,89456c4eecc42f10a56c880fa699a4dfa5587c7f3f6e13c30a839f7f4fdb7c58,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,0,UPDATE,395914.16580885265,197844.8808298361,609.1596340805969,516,882,3493,6195,13991,94847,2498583,0,89456c4eecc42f10a56c880fa699a4dfa5587c7f3f6e13c30a839f7f4fdb7c58,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,0,Intended-UPDATE,395914.16580885265,197844.8808298361,609.1946455250836,516,882,3493,6195,13991,94847,2498583,0,89456c4eecc42f10a56c880fa699a4dfa5587c7f3f6e13c30a839f7f4fdb7c58,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,candidate,C,100000,READ,99824.30921578023,99824.30921578023,313.2280412,299,410,478,688,1686,35199,5000000,0,bcc475b4659b1437f9051d5648365ea3c8b4758e2c9a46f11fc4c7abe2ab1904,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,C,100000,Intended-READ,99824.30921578023,99824.30921578023,403.0996116,358,470,546,6779,59103,90111,5000000,0,bcc475b4659b1437f9051d5648365ea3c8b4758e2c9a46f11fc4c7abe2ab1904,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,C,0,READ,492707.9227433977,492707.9227433977,466.1504616,443,622,895,3193,7979,89855,5000000,0,553da207582f0463f1ffa830397000090cc87fc6057b89302f068f6533bc538d,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,C,0,Intended-READ,492707.9227433977,492707.9227433977,466.188325,443,622,895,3193,7979,89855,5000000,0,553da207582f0463f1ffa830397000090cc87fc6057b89302f068f6533bc538d,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,A,100000,READ,99802.39126529472,49873.86973791892,315.0725249146433,297,378,506,3237,6583,19567,2498631,0,9d4ae3577e3dc16b6a2719d1829be6a81b17d68092cda1e594edc4e5dd8f3991,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,A,100000,Intended-READ,99802.39126529472,49873.86973791892,402.48060918158785,356,441,893,7095,51679,95871,2498631,0,9d4ae3577e3dc16b6a2719d1829be6a81b17d68092cda1e594edc4e5dd8f3991,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,A,100000,UPDATE,99802.39126529472,49928.52152737579,323.22796516627494,304,390,533,3315,6767,20015,2501369,0,9d4ae3577e3dc16b6a2719d1829be6a81b17d68092cda1e594edc4e5dd8f3991,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,A,100000,Intended-UPDATE,99802.39126529472,49928.52152737579,411.40832959871176,363,453,933,7479,51711,97855,2501369,0,9d4ae3577e3dc16b6a2719d1829be6a81b17d68092cda1e594edc4e5dd8f3991,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,A,0,READ,408697.0737289521,204365.29344449894,570.3574646878956,503,791,2989,6067,10807,32015,2500205,0,12be0f22feaf9f8d6132e16ae035aac1f62e76f39f7a4806d9468f99ef8350ec,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,A,0,Intended-READ,408697.0737289521,204365.29344449894,570.392181841089,503,791,2989,6067,10807,32015,2500205,0,12be0f22feaf9f8d6132e16ae035aac1f62e76f39f7a4806d9468f99ef8350ec,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,A,0,UPDATE,408697.0737289521,204331.78028445315,584.9232065029332,513,817,3059,6119,11007,34975,2499795,0,12be0f22feaf9f8d6132e16ae035aac1f62e76f39f7a4806d9468f99ef8350ec,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
3,candidate,A,0,Intended-UPDATE,408697.0737289521,204331.78028445315,584.9619944835476,513,817,3059,6119,11007,34975,2499795,0,12be0f22feaf9f8d6132e16ae035aac1f62e76f39f7a4806d9468f99ef8350ec,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
