# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cpu-clock:u'
# Event count (approx.): 272898987170
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 4.10%  | 4.10%  |[.] absl::lts_20250512::crc_internal::(anonymous namespace)::CRC32AcceleratedX86ARMCombinedMultipleStreams<3ul, 0ul, (absl::lts_20250512::crc_internal::(anonymous namespace)::CutoffStrategy)0>::Extend(unsigned int*, void const*, unsigned long) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 4.05%  | 0.44%  |[.] keylane::storage::StorageEngine::Impl::SalvageBlockRecords(keylane::storage::StorageEngine::Impl::SalvageBlockRecords(keylane::storage::StorageEngine::Impl::WorkerStore&, unsigned long, keylane::storage::BlockState&, unsigned int, unsigned long, std::shared_ptr<absl::lts_20250512::flat_hash_set<unsigned long, absl::lts_20250512::hash_internal::Hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned long> > const>)::_ZN7keylane7storage13StorageEngine4Impl19SalvageBlockRecordsERNS2_11WorkerStoreEmRNS0_10BlockStateEjmSt10shared_ptrIKN4absl12lts_2025051213flat_hash_setImNS9_13hash_internal4HashImEESt8equal_toImESaImEEEE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |-      -            
 3.96%  | 0.63%  |[.] keylane::storage::StorageEngine::Impl::LoadValueLocal(keylane::storage::StorageEngine::Impl::LoadValueLocal(keylane::storage::StorageEngine::Impl::WorkerStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::RecordLocation, unsigned long, keylane::ReadLatencyTrace*, std::optional<unsigned long>)::_ZN7keylane7storage13StorageEngine4Impl14LoadValueLocalERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEENS0_14RecordLocationEmPNS_16ReadLatencyTraceESt8optionalImE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 3.94%  | 3.94%  |[.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 3.94%  | 0.00%  |[.] __memcpy_avx512_unaligned_erms (inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 3.86%  | 1.89%  |[.] keylane::storage::StorageEngine::Impl::FlushPendingBlocks(keylane::storage::StorageEngine::Impl::FlushPendingBlocks(keylane::storage::StorageEngine::Impl::WorkerStore*)::_ZN7keylane7storage13StorageEngine4Impl18FlushPendingBlocksEPNS2_11WorkerStoreE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 3.05%  | 0.44%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 2.48%  | 0.44%  |[.] keylane::storage::(anonymous namespace)::ReadCompactHashResult(std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperationKind, unsigned long) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 2.18%  | 1.01%  |[.] keylane::ReplyBuilder::AppendBulkString(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 2.14%  | 2.05%  |[.] celer::Worker::DrainCrossCore()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 2.07%  | 0.43%  |[.] keylane::storage::StorageEngine::Impl::ExecuteHash(keylane::storage::StorageEngine::Impl::ExecuteHash(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperation const&, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::_ZN7keylane7storage13StorageEngine4Impl11ExecuteHashEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_13HashOperationEPNS0_24ReplicationCommandAppendEPKNS0_20MutationPreconditionE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 2.00%  | 0.78%  |[.] keylane::ExecuteCommandBody(keylane::ExecuteCommandBody(keylane::CommandRequest const&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*, keylane::(anonymous namespace)::ReplicationTransactionOrderGuard*, std::optional<bool>)::_ZN7keylane18ExecuteCommandBodyERKNS_14CommandRequestERNS_12ReplyBuilderEmPNS_17ConnectionContextEPNS_12_GLOBAL__N_132ReplicationTransactionOrderGuardESt8optionalIbE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 1.98%  | 1.85%  |[.] keylane::storage::RedisSlot(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 1.95%  | 1.95%  |[.] _mi_theap_malloc_zero.constprop.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
