configuration,round,workload,target,histogram,total_qps,op_qps,count,failed,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,label,sha256,binary_sha256
16-worker historical,3,A,100000,READ,99736.69512487034,49863.32083300088,2499748,0,336.2932775623783,314,408,626,3839,7163,23711,hash-direct-reserve-r3-reserve,a7d3459a19f055f477b7240143bd7426b74d27422df924f3e86d2ff555f3d4e0,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
16-worker historical,3,A,100000,Intended-READ,99736.69512487034,49863.32083300088,2499748,0,444.6597565034555,373,471,1123,16255,65247,105343,hash-direct-reserve-r3-reserve,a7d3459a19f055f477b7240143bd7426b74d27422df924f3e86d2ff555f3d4e0,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
16-worker historical,3,A,100000,UPDATE,99736.69512487034,49873.37429186946,2500252,0,350.1073291812185,327,425,686,3873,7447,31007,hash-direct-reserve-r3-reserve,a7d3459a19f055f477b7240143bd7426b74d27422df924f3e86d2ff555f3d4e0,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
16-worker historical,3,A,100000,Intended-UPDATE,99736.69512487034,49873.37429186946,2500252,0,460.5985480663549,385,487,1151,18767,68031,106751,hash-direct-reserve-r3-reserve,a7d3459a19f055f477b7240143bd7426b74d27422df924f3e86d2ff555f3d4e0,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
16-worker historical,3,A,0,READ,366649.5563540368,183394.44159272566,2500950,0,634.818400607769,553,955,2977,6803,15431,46431,hash-direct-reserve-r3-reserve,272f7da37b37af111aa32e72765e692a4e8a4c3c04265a05bbc8faf17cd3fa6c,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
16-worker historical,3,A,0,Intended-READ,366649.5563540368,183394.44159272566,2500950,0,634.8590179731702,553,955,2977,6803,15431,46431,hash-direct-reserve-r3-reserve,272f7da37b37af111aa32e72765e692a4e8a4c3c04265a05bbc8faf17cd3fa6c,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
16-worker historical,3,A,0,UPDATE,366649.5563540368,183255.11476131112,2499050,0,655.3953506332406,568,992,3087,6883,15927,121983,hash-direct-reserve-r3-reserve,272f7da37b37af111aa32e72765e692a4e8a4c3c04265a05bbc8faf17cd3fa6c,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
16-worker historical,3,A,0,Intended-UPDATE,366649.5563540368,183255.11476131112,2499050,0,655.4287545267201,568,992,3087,6883,15927,121983,hash-direct-reserve-r3-reserve,272f7da37b37af111aa32e72765e692a4e8a4c3c04265a05bbc8faf17cd3fa6c,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
12-worker clean reload,1,C,100000,READ,99738.68464622689,99738.68464622689,5000000,0,315.2050796,301,405,465,1006,2553,16703,cpu12-r1,8c7cc99a26227e5d0f9fd991233e82bf0c0eb33977ff038138172fe8e1375540,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,C,100000,Intended-READ,99738.68464622689,99738.68464622689,5000000,0,388.3648574,360,466,534,1977,41887,88255,cpu12-r1,8c7cc99a26227e5d0f9fd991233e82bf0c0eb33977ff038138172fe8e1375540,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
