# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cpu-clock:u'
# Event count (approx.): 374595955850
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 3.92%  | 1.98%  |[.] keylane::storage::StorageEngine::Impl::FlushPendingBlocks(keylane::storage::StorageEngine::Impl::FlushPendingBlocks(keylane::storage::StorageEngine::Impl::WorkerStore*)::_ZN7keylane7storage13StorageEngine4Impl18FlushPendingBlocksEPNS2_11WorkerStoreE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 3.71%  | 1.22%  |[.] keylane::(anonymous namespace)::RedisService::Serve(keylane::(anonymous namespace)::RedisService::Serve(celer::TcpStream&, keylane::ConnectionContext&)::_ZN7keylane12_GLOBAL__N_112RedisService5ServeERN5celer9TcpStreamERNS_17ConnectionContextE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 3.06%  | 3.06%  |[.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 3.06%  | 0.00%  |[.] __memcpy_avx512_unaligned_erms (inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 2.49%  | 2.34%  |[.] keylane::storage::RedisSlot(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 2.32%  | 0.36%  |[.] keylane::storage::DecodeHashValue(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 2.18%  | 2.18%  |[.] _mi_theap_malloc_zero.constprop.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 2.16%  | 1.46%  |[.] keylane::storage::DecodeRecordHeader(std::span<std::byte const, 18446744073709551615ul>, keylane::storage::RecordHeader*, std::basic_string_view<char, std::char_traits<char> >*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 1.98%  | 0.36%  |[.] keylane::storage::(anonymous namespace)::ReadCompactHashResult(std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperationKind, unsigned long) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 1.85%  | 0.73%  |[.] keylane::ExecuteCommandBody(keylane::ExecuteCommandBody(keylane::CommandRequest const&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*, keylane::(anonymous namespace)::ReplicationTransactionOrderGuard*, std::optional<bool>)::_ZN7keylane18ExecuteCommandBodyERKNS_14CommandRequestERNS_12ReplyBuilderEmPNS_17ConnectionContextEPNS_12_GLOBAL__N_132ReplicationTransactionOrderGuardESt8optionalIbE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
