round,variant,workload,target,histogram,total_qps,op_qps,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,count,failed,log_sha256,binary_sha256
2,candidate,A,0,Intended-READ,440761.63610719325,220317.8772919605,610.474047387934,508,1027,3339,6055,13919,64063,2499286,0,09cb3e32c1c6953b4339212033b80952e08666acac0e75c892e8f96e53174c2b,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,A,0,UPDATE,440761.63610719325,220443.75881523272,450.9931279626539,379,748,2333,5083,13823,63807,2500714,0,09cb3e32c1c6953b4339212033b80952e08666acac0e75c892e8f96e53174c2b,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,A,0,Intended-UPDATE,440761.63610719325,220443.75881523272,451.02996984061355,379,748,2333,5083,13823,63807,2500714,0,09cb3e32c1c6953b4339212033b80952e08666acac0e75c892e8f96e53174c2b,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,baseline,C,100000,READ,99804.38340851931,99804.38340851931,309.1254372,297,399,457,866,2045,35647,5000000,0,73b1d50e102e9767e79aba44351c8c151c3b47e0476184bd1b0c5133870b53e6,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,C,100000,Intended-READ,99804.38340851931,99804.38340851931,400.3762932,355,459,526,7419,61535,90623,5000000,0,73b1d50e102e9767e79aba44351c8c151c3b47e0476184bd1b0c5133870b53e6,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,C,0,READ,472902.6766291497,472902.6766291497,479.7743666,447,649,1284,3573,8447,46495,5000000,0,eba5fcc67339fae929b4deb3ac75906997d5589e851618188b4fde01835b450b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,C,0,Intended-READ,472902.6766291497,472902.6766291497,479.8128432,447,649,1284,3573,8447,46495,5000000,0,eba5fcc67339fae929b4deb3ac75906997d5589e851618188b4fde01835b450b,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,100000,READ,99812.35277677965,49885.115981953924,321.7270660218612,296,391,726,4151,7891,13399,2498945,0,84ebace783fe4ac99ef39444b2376b4772d0c76e76081e635236f89fec28187e,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,100000,Intended-READ,99812.35277677965,49885.115981953924,406.3595553323502,355,454,1094,6891,48447,92671,2498945,0,84ebace783fe4ac99ef39444b2376b4772d0c76e76081e635236f89fec28187e,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,100000,UPDATE,99812.35277677965,49927.23679482573,235.4776324391107,218,309,481,2439,4031,18735,2501055,0,84ebace783fe4ac99ef39444b2376b4772d0c76e76081e635236f89fec28187e,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,100000,Intended-UPDATE,99812.35277677965,49927.23679482573,320.28256515750354,278,372,799,4799,49567,95935,2501055,0,84ebace783fe4ac99ef39444b2376b4772d0c76e76081e635236f89fec28187e,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,0,READ,436719.3641366058,218339.41828980696,607.3113016887967,510,1007,3289,5943,9695,70783,2499768,0,743d4015fb42070b2337d500ae6a4fb4a096826957ae9bfd12a1197abab27e5f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,0,Intended-READ,436719.3641366058,218339.41828980696,607.3475918565243,510,1007,3289,5943,9695,70783,2499768,0,743d4015fb42070b2337d500ae6a4fb4a096826957ae9bfd12a1197abab27e5f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,0,UPDATE,436719.3641366058,218379.94584679886,446.1970121172755,380,720,2299,4859,8139,40511,2500232,0,743d4015fb42070b2337d500ae6a4fb4a096826957ae9bfd12a1197abab27e5f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,baseline,A,0,Intended-UPDATE,436719.3641366058,218379.94584679886,446.2335435271607,380,720,2299,4859,8139,40511,2500232,0,743d4015fb42070b2337d500ae6a4fb4a096826957ae9bfd12a1197abab27e5f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
3,candidate,C,100000,READ,99796.41531276196,99796.41531276196,306.2485738,294,395,460,676,1730,37343,5000000,0,f6198b22e9f74689d8936d9bd36e27483cec92186cc7b2e4545829ab01969ef7,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,C,100000,Intended-READ,99796.41531276196,99796.41531276196,401.1634688,353,455,530,11671,57215,82687,5000000,0,f6198b22e9f74689d8936d9bd36e27483cec92186cc7b2e4545829ab01969ef7,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,C,0,READ,488090.58961343224,488090.58961343224,468.585505,446,621,897,3191,7027,81279,5000000,0,92419f46e1c7f84c594bcf4c751ffeb84a1a3b9803c1b18207a35711e4dfd12f,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,C,0,Intended-READ,488090.58961343224,488090.58961343224,468.6219106,446,621,898,3191,7027,81279,5000000,0,92419f46e1c7f84c594bcf4c751ffeb84a1a3b9803c1b18207a35711e4dfd12f,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,A,100000,READ,99744.65368656241,49865.6439514842,325.72566443903486,297,386,776,5223,9207,27007,2499665,0,5ca40e982c0f60014f38f7d73a4446bd86aa49cc6ee0f58531e025cc829e6406,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,A,100000,Intended-READ,99744.65368656241,49865.6439514842,433.8042361676465,356,450,1268,15991,73343,108543,2499665,0,5ca40e982c0f60014f38f7d73a4446bd86aa49cc6ee0f58531e025cc829e6406,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,A,100000,UPDATE,99744.65368656241,49879.0097350782,235.04900063391506,218,304,434,2491,4451,30671,2500335,0,5ca40e982c0f60014f38f7d73a4446bd86aa49cc6ee0f58531e025cc829e6406,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,A,100000,Intended-UPDATE,99744.65368656241,49879.0097350782,342.7044288065399,277,368,872,14535,75519,107583,2500335,0,5ca40e982c0f60014f38f7d73a4446bd86aa49cc6ee0f58531e025cc829e6406,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,A,0,READ,443301.711144605,221512.36811774093,605.726126083577,506,996,3389,6027,10135,59999,2498438,0,d79afc03eafeaef6d39b67a95076cdc24f8eb0bcf793cae0592a6bff5b1bb843,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,A,0,Intended-READ,443301.711144605,221512.36811774093,605.7624019487375,506,996,3389,6027,10135,59999,2498438,0,d79afc03eafeaef6d39b67a95076cdc24f8eb0bcf793cae0592a6bff5b1bb843,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,A,0,UPDATE,443301.711144605,221789.34302686408,442.62096362192904,376,684,2333,5035,10191,111295,2501562,0,d79afc03eafeaef6d39b67a95076cdc24f8eb0bcf793cae0592a6bff5b1bb843,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
3,candidate,A,0,Intended-UPDATE,443301.711144605,221789.34302686408,442.6579844912898,376,684,2333,5035,10191,111295,2501562,0,d79afc03eafeaef6d39b67a95076cdc24f8eb0bcf793cae0592a6bff5b1bb843,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
