stage,workload,round,variant,target,workers,histogram,total_qps,op_qps,count,failed,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,log,sha256,binary_sha256
reserve,A,2,reserve,100000,256,UPDATE,99748.63344372182,49862.72593065475,2499419,0,352.87659932168236,327,424,784,4021,7483,28879,hash-direct-reserve-r2-reserve-hmset-a-c256-target100000-measured.log,cb792df98ab279c7e8e51384d95824029876aee3fbadb2d70dd2199e2a947156,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,2,reserve,100000,256,Intended-UPDATE,99748.63344372182,49862.72593065475,2499419,0,450.21690040765475,386,487,1203,9943,57375,84351,hash-direct-reserve-r2-reserve-hmset-a-c256-target100000-measured.log,cb792df98ab279c7e8e51384d95824029876aee3fbadb2d70dd2199e2a947156,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,2,reserve,0,256,READ,371333.0857779428,185595.09840326774,2499038,0,635.5632847519726,554,955,2801,6815,13527,44927,hash-direct-reserve-r2-reserve-hmset-a-c256-measured.log,9555a8d80bd5895e6cc5ce2d891d660f7060d2917e33f521d9975aed89d39585,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,2,reserve,0,256,Intended-READ,371333.0857779428,185595.09840326774,2499038,0,635.5966884056985,554,955,2801,6815,13527,44927,hash-direct-reserve-r2-reserve-hmset-a-c256-measured.log,9555a8d80bd5895e6cc5ce2d891d660f7060d2917e33f521d9975aed89d39585,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,2,reserve,0,256,UPDATE,371333.0857779428,185737.98737467508,2500962,0,657.2655798048911,570,997,2901,6907,16943,45535,hash-direct-reserve-r2-reserve-hmset-a-c256-measured.log,9555a8d80bd5895e6cc5ce2d891d660f7060d2917e33f521d9975aed89d39585,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,2,reserve,0,256,Intended-UPDATE,371333.0857779428,185737.98737467508,2500962,0,657.2989053812094,570,997,2901,6907,16943,45535,hash-direct-reserve-r2-reserve-hmset-a-c256-measured.log,9555a8d80bd5895e6cc5ce2d891d660f7060d2917e33f521d9975aed89d39585,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,3,direct,100000,256,READ,99798.40721742081,49882.217919802,2499149,0,344.0927307655526,316,407,702,4975,22191,27247,hash-direct-reserve-r3-direct-hmset-a-c256-target100000-measured.log,5c8d68b88cd052d538660a157c1bc2cb7c47259da42d1823a943ae212db528e2,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,3,direct,100000,256,Intended-READ,99798.40721742081,49882.217919802,2499149,0,448.01868035879414,375,471,1643,16559,28655,44927,hash-direct-reserve-r3-direct-hmset-a-c256-target100000-measured.log,5c8d68b88cd052d538660a157c1bc2cb7c47259da42d1823a943ae212db528e2,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,3,direct,100000,256,UPDATE,99798.40721742081,49916.18929761881,2500851,0,359.4337971354551,328,424,803,5119,22959,26527,hash-direct-reserve-r3-direct-hmset-a-c256-target100000-measured.log,5c8d68b88cd052d538660a157c1bc2cb7c47259da42d1823a943ae212db528e2,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,3,direct,100000,256,Intended-UPDATE,99798.40721742081,49916.18929761881,2500851,0,464.3911068672224,387,488,1802,17023,30159,47071,hash-direct-reserve-r3-direct-hmset-a-c256-target100000-measured.log,5c8d68b88cd052d538660a157c1bc2cb7c47259da42d1823a943ae212db528e2,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
