# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 56K of event 'cpu-clock:u'
# Event count (approx.): 284105492125
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 2.41%  | 0.56%  |[.] keylane::storage::StorageEngine::Impl::ExecuteHash(keylane::storage::StorageEngine::Impl::ExecuteHash(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperation const&, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::_ZN7keylane7storage13StorageEngine4Impl11ExecuteHashEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_13HashOperationEPNS0_24ReplicationCommandAppendEPKNS0_20MutationPreconditionE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 2.39%  | 1.08%  |[.] keylane::storage::StorageEngine::Impl::FlushPendingBlocks(keylane::storage::StorageEngine::Impl::FlushPendingBlocks(keylane::storage::StorageEngine::Impl::WorkerStore*)::_ZN7keylane7storage13StorageEngine4Impl18FlushPendingBlocksEPNS2_11WorkerStoreE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 2.31%  | 0.92%  |[.] keylane::ExecuteCommandBody(keylane::ExecuteCommandBody(keylane::CommandRequest const&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*, keylane::(anonymous namespace)::ReplicationTransactionOrderGuard*, std::optional<bool>)::_ZN7keylane18ExecuteCommandBodyERKNS_14CommandRequestERNS_12ReplyBuilderEmPNS_17ConnectionContextEPNS_12_GLOBAL__N_132ReplicationTransactionOrderGuardESt8optionalIbE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 2.23%  | 1.74%  |[.] keylane::storage::DecodeRecordHeader(std::span<std::byte const, 18446744073709551615ul>, keylane::storage::RecordHeader*, std::basic_string_view<char, std::char_traits<char> >*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 2.19%  | 0.77%  |[.] keylane::DispatchCommandImpl(keylane::DispatchCommandImpl(keylane::ConnectionContext&, keylane::CommandRequest&, keylane::ReplyBuilder&)::_ZN7keylane19DispatchCommandImplERNS_17ConnectionContextERNS_14CommandRequestERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 1.95%  | 1.37%  |[.] keylane::storage::StorageEngine::Impl::LoadValue(keylane::storage::StorageEngine::Impl::LoadValue(keylane::storage::StorageEngine::Impl::WorkerStore&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::RecordLocation, std::shared_ptr<std::vector<keylane::storage::ExtentRef, std::allocator<keylane::storage::ExtentRef> > const>, keylane::ReadLatencyTrace*, std::shared_ptr<keylane::storage::GroupedHashObject const>)::_ZN7keylane7storage13StorageEngine4Impl9LoadValueERNS2_11WorkerStoreERNS3_14PartitionStoreEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_6DigestENS0_14RecordLocationESt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISH_EEEPNS_16ReadLatencyTraceESF_IKNS0_17GroupedHashObjectEE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 1.89%  | 0.33%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.86%  | 0.64%  |[.] celer::IoUringBackend::ReapCompletions()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 1.85%  | 1.85%  |[.] __memcmp_evex_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.68%  | 0.66%  |[.] keylane::ReplyBuilder::AppendBulkString(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
